









equals
plus
minus
times
divided by
left parenthesis
right parenthesis
left brace
right brace
is greater than
is less than
is greater than or equal to
is less than or equal to
is nearly equal to
and the remainder is
next
and
squared
cubed
tesseracted


,

,

,

,

,

,

,

00, 🌪cyclone(cycle o), cyclone
01, 🌬zephyr(zero first), zephyr
02, 🌾oat(o two), oat
03, 📃oath(o three), oath
04, 😀affordable(o four), affordable
05, 🗃open(o penta), open
06, 😎Aussie(o six), Aussie
07, 👩‍🍳oven(o seven), oven
08, 🏜oasis(o eight), oasis
09, 🔮xenon(zero nona), xenon
10, 🗡iron(i o), iron
11, 🛤parallel, parallel
12, 🚗mobile(mono bi), mobile
13, 🏢facade(first third), facade
14, 📱iphone(i four), iphone
15, 📶wifi(i five), wifi
16, 🥶icicle(i six), icicle
17, 🧊iceberg(i seven), iceberg
18, 🚿funnel(first eight), funnel
19, 🔥furnace(first nine), furnace
20, 🦋bio(di o), bio
21, 💍diamond(di mono), diamond
22, 👗tutu(two two), tutu
23, 🍰dessert(di third), dessert
24, 🍂defoliant(di four), defoliant
25, 🦹‍♂️defiler(dive,di five), defiler
26, 🚲bicycle(bi six), bicycle
27, 💪biceps(di seven), biceps
28, 🏊‍♀️diet(di eight), diet
29, 🌌tonight(two nine), tonight
30, 👨‍👩‍👦trio(tri o), trio
31, 🙂someone(third one), someone
32, 🕵️‍♂️trilby(tri bi), trilby
33, 🔪slicer(three third), slicer
34, 👓trifocals(tri four), trifocals
35, 🐍serpent(third penta), serpent
36, 🛺tricycle(tri six), tricycle
37, 🌃thriven(three seven), thriven
38, 🖋trait(tri eight), trait
39, 🚥trinary(tri nine), trinary
40, ⚔️foe(four o), foe
41, 🏌️‍♀️forward(four one), forward
42, 🌄photo(four two), photo
43, 🏋️‍♀️force(four three), force
44, 👨‍👩‍👦‍👦quartet(quadri tetra), quartet
45, 🥃fortifier(four five), fortifier
46, 🦊fox(four six), fox
47, 🥢forceps(four seven), forceps
48, 🎹forte(four eight), forte
49, 🐘fauna(four nine), fauna
50, 🐶Fido(five o), Fido
51, 📀penny worth(penta one), penny worth
52, 🌸quintuple(quin two), quintuple
53, 🏃‍♀️pentathlon(penta three), pentathlon
54, 👩‍🎤👩‍👩‍👧‍👧quintet(quin tetra), quintet
55, 💰five pence(five penta), five pence
56, 🧗‍♀️fix(five six), fix
57, 🤵fiance(five seven), fiance
58, 🥩fillet(five eitht), fillet
59, ⏳finite(five nine), finite
60, 😡Hector(hex o), hector
61, 🕺chic one(six one), chic one
62, 👧Cindie(six di), Cindie
63, ✂️scissors(six third), scissors
64, 🎺🎻symphony(six four), symphony
65, 🤐🛶sieve(six five), sieve
66, 😭sissy(six six), sissy
67, 🤩sixth sense(six seven), sixth sense
68, 😴siesta(six eight), siesta
69, 👨‍🦳senile(six nine), senile
70, 👑🦯scepter(seven o), scepter
71, 🥰self-worth(seven one), self-worth
72, 🏞sediment(seven di), sediment
73, 👮‍♂️censor(seven third), censor
74, 👨‍👩‍👦👨‍👩‍👧‍👦septet(seven tetra), septet
75, 🤳selfy(seven fifth), selfy
76, 👨‍🏫sensible(seven six), sensible
77, 👽sensation(seven seven), sensation
78, 🍉semination(seven eight), semination
79, 🤺saber knight(seven nine), saber knight
80, 🌰acorn(eight o), acorn
81, 🧒Edward(eight one), Edward
82, 🎼etude(eight two), etude
83, 👂atrium(eight tri), atrium
84, 👨‍👩‍👧‍👦👨‍👩‍👦‍👦octet(oct tetra), octet
85, 🤧hay fever(eight five), hay fever
86, 📖ethics(eight six), ethics
87, 👨‍🚒ailing saver(eight seven), ailing saver
88, 🛢octane(oct eight), octane
89, 🦸able knight(eight nine), able knight
90, 🧨nitro(nine o), nitro
91, 🌉nocturne(nona one), nocturne
92, 👯‍♂️nudge(nine di), nudge
93, 🤱nicely(nine three), nicely
94, 🌆night fall(nine four), night fall
95, 🥺naive(nine five), naive
96, 🤷nothing(nine six), nothing
97, 📓novel(nona seven), novel
98, 💥nitrate(nine eight), nitrate
99, 👱‍♀️Nana(nine nine), Nana
00, 🌪cyclone, cyclone
01, 🌬zephyr, zephyr
02, 🌾oat, oat
03, 📃oath, oath
04, 😀affordable, affordable
05, 🗃open, open
06, 😎Aussie, Aussie
07, 👩‍🍳oven, oven
08, 🏜oasis, oasis
09, 🔮xenon, xenon
10, 🗡iron, iron
11, 🛤parallel, parallel
12, 🚗mobile, mobile
13, 🏢facade, facade
